Integer|*Numero;String|Nombre;String|Apellido;Integer|ID;
0                  |Marco              |Tomtate            |95                 
5060               |Ana                |Matamoros          |64                 
5061               |Marco              |Sanchez            |57                 
5062               |Omar               |Mata               |42                 
5063               |Michell            |Ruth               |72                 
5064               |Brownie            |Suazo              |28                 
5065               |David              |Tomtate            |68                 
5066               |Diego              |Soto               |62                 
5067               |Goku               |Sula               |5                  
5068               |Ramon              |Soto               |73                 
5069               |Brownie            |Mata               |25                 
5070               |Ana                |Kurosaki           |67                 
5071               |Maria              |Sanchez            |62                 
5072               |Ricardo            |Soto               |78                 
5073               |Brownie            |Sanchez            |35                 
5074               |Ana                |Borjas             |25                 
5075               |Ana                |Soto               |23                 
5076               |Michell            |Sula               |44                 
5077               |Diego              |Soto               |31                 
5078               |Deku               |Murcia             |63                 
5079               |Ricardo            |Tomtate            |18                 
5080               |Ana                |Matamoros          |65                 
5081               |Maria              |Suazo              |87                 
5082               |Brownie            |Ruth               |61                 
5083               |Ramon              |Kurosaki           |66                 
5084               |Brownie            |Sanchez            |73                 
5085               |Ricardo            |Mata               |12                 
5086               |David              |Murcia             |53                 
5087               |Ana                |Matamoros          |33                 
5088               |Ricardo            |Mata               |19                 
5089               |Diego              |Kurosaki           |39                 
5090               |Brownie            |Soto               |0                  
5091               |Ramon              |Murcia             |22                 
5092               |David              |Tomtate            |73                 
5093               |Marco              |Ordoñez            |16                 
5094               |Michell            |Sula               |58                 
5095               |Brownie            |Soto               |6                  
5096               |David              |Borjas             |42                 
5097               |Diego              |Mata               |3                  
5098               |Michell            |Tomtate            |90                 
5099               |Ana                |Ordoñez            |72                 
5100               |Michell            |Soto               |43                 
5101               |Ricardo            |Ordoñez            |73                 
5102               |Deku               |Suazo              |20                 
5103               |Deku               |Ruth               |59                 
5104               |Maria              |Kurosaki           |18                 
5105               |Michell            |Murcia             |20                 
5106               |Marco              |Ordoñez            |88                 
5107               |Deku               |Matamoros          |72                 
5108               |Marco              |Sanchez            |55                 
5109               |Ramon              |Sula               |27                 
5110               |Ricardo            |Soto               |59                 
5111               |Michell            |Borjas             |1                  
5112               |Ramon              |Ruth               |63                 
5113               |Deku               |Borjas             |53                 
5114               |Ana                |Suazo              |26                 
5115               |Brownie            |Suazo              |26                 
5116               |Goku               |Ruth               |85                 
5117               |David              |Ordoñez            |16                 
5118               |Diego              |Sanchez            |80                 
5119               |Omar               |Borjas             |55                 
5120               |Omar               |Ordoñez            |92                 
5121               |Diego              |Kurosaki           |26                 
5122               |Michell            |Murcia             |2                  
5123               |David              |Matamoros          |31                 
5124               |Brownie            |Murcia             |77                 
5125               |Maria              |Ordoñez            |12                 
5126               |Diego              |Ordoñez            |25                 
5127               |Brownie            |Borjas             |81                 
5128               |Omar               |Ruth               |85                 
5129               |Marco              |Suazo              |47                 
5130               |Goku               |Sanchez            |15                 
5131               |Diego              |Ordoñez            |56                 
5132               |Goku               |Murcia             |26                 
5133               |Maria              |Sula               |88                 
5134               |Diego              |Sanchez            |63                 
5135               |Brownie            |Tomtate            |1                  
5136               |David              |Borjas             |17                 
5137               |David              |Kurosaki           |12                 
5138               |Deku               |Ruth               |80                 
5139               |Ricardo            |Sanchez            |13                 
5140               |Ana                |Tomtate            |38                 
5141               |Maria              |Ordoñez            |70                 
5142               |Ricardo            |Sanchez            |5                  
5143               |Ricardo            |Matamoros          |20                 
5144               |Diego              |Kurosaki           |16                 
5145               |Michell            |Suazo              |17                 
5146               |Deku               |Borjas             |94                 
5147               |David              |Ordoñez            |50                 
5148               |David              |Sanchez            |45                 
5149               |Ana                |Sanchez            |50                 
5150               |David              |Kurosaki           |51                 
5151               |Ana                |Sula               |4                  
5152               |Ana                |Ruth               |3                  
5153               |Ana                |Sula               |94                 
5154               |David              |Soto               |98                 
5155               |Michell            |Matamoros          |47                 
5156               |Ricardo            |Murcia             |43                 
5157               |Goku               |Sanchez            |88                 
5158               |Ana                |Suazo              |97                 
5159               |Ramon              |Tomtate            |18                 
5160               |Marco              |Ruth               |94                 
5161               |Deku               |Borjas             |59                 
5162               |Ana                |Borjas             |6                  
5163               |Diego              |Ordoñez            |94                 
5164               |Ana                |Suazo              |26                 
5165               |Goku               |Tomtate            |51                 
5166               |Michell            |Sanchez            |30                 
5167               |Diego              |Sanchez            |15                 
5168               |Ramon              |Ordoñez            |42                 
5169               |Diego              |Kurosaki           |99                 
5170               |Ana                |Suazo              |64                 
5171               |David              |Ruth               |62                 
5172               |Michell            |Borjas             |13                 
5173               |Brownie            |Borjas             |75                 
5174               |Marco              |Kurosaki           |58                 
5175               |Goku               |Ruth               |22                 
5176               |Omar               |Tomtate            |14                 
5177               |Omar               |Murcia             |60                 
5178               |Ricardo            |Murcia             |14                 
5179               |Goku               |Soto               |72                 
5180               |Ramon              |Sula               |65                 
5181               |Diego              |Sanchez            |93                 
5182               |Ana                |Sula               |84                 
5183               |Brownie            |Suazo              |31                 
5184               |Ricardo            |Soto               |95                 
5185               |Deku               |Soto               |28                 
5186               |David              |Murcia             |49                 
5187               |David              |Murcia             |41                 
5188               |Ramon              |Ordoñez            |15                 
5189               |Ramon              |Matamoros          |70                 
5190               |Ricardo            |Sula               |29                 
5191               |Michell            |Mata               |80                 
5192               |Maria              |Sula               |36                 
5193               |David              |Suazo              |39                 
5194               |Diego              |Ordoñez            |42                 
5195               |Deku               |Kurosaki           |4                  
5196               |Ramon              |Ruth               |99                 
5197               |Deku               |Suazo              |99                 
5198               |Ana                |Suazo              |39                 
5199               |Michell            |Ordoñez            |27                 
5200               |Marco              |Suazo              |75                 
5201               |Ricardo            |Murcia             |98                 
5202               |Brownie            |Matamoros          |8                  
5203               |Marco              |Sanchez            |59                 
5204               |Ricardo            |Soto               |33                 
5205               |David              |Sanchez            |76                 
5206               |David              |Matamoros          |4                  
5207               |Brownie            |Mata               |88                 
5208               |Diego              |Borjas             |62                 
5209               |Omar               |Tomtate            |33                 
5210               |Ana                |Ordoñez            |82                 
5211               |Michell            |Sanchez            |42                 
5212               |David              |Sula               |55                 
5213               |Marco              |Tomtate            |7                  
5214               |Omar               |Suazo              |97                 
5215               |Diego              |Sula               |77                 
5216               |Diego              |Kurosaki           |83                 
5217               |Marco              |Ordoñez            |55                 
5218               |Ramon              |Murcia             |79                 
5219               |Brownie            |Murcia             |76                 
5220               |Omar               |Ordoñez            |93                 
5221               |Omar               |Sanchez            |80                 
5222               |Maria              |Soto               |56                 
5223               |Omar               |Murcia             |8                  
5224               |Diego              |Ordoñez            |65                 
5225               |Ricardo            |Ruth               |16                 
5226               |Deku               |Sula               |88                 
5227               |Diego              |Sula               |84                 
5228               |Ramon              |Sanchez            |6                  
5229               |Diego              |Kurosaki           |70                 
5230               |Ana                |Ruth               |36                 
5231               |Marco              |Ruth               |3                  
5232               |Brownie            |Kurosaki           |14                 
5233               |Michell            |Borjas             |33                 
5234               |Ricardo            |Ruth               |25                 
5235               |David              |Soto               |64                 
5236               |Ramon              |Suazo              |97                 
5237               |Ricardo            |Ruth               |51                 
5238               |David              |Mata               |56                 
5239               |Michell            |Borjas             |97                 
5240               |Ricardo            |Matamoros          |96                 
5241               |Michell            |Tomtate            |89                 
5242               |Maria              |Tomtate            |13                 
5243               |Ramon              |Murcia             |87                 
5244               |Goku               |Sula               |65                 
5245               |Omar               |Borjas             |14                 
5246               |Omar               |Soto               |40                 
5247               |Ramon              |Sanchez            |58                 
5248               |Deku               |Sula               |72                 
5249               |Michell            |Sanchez            |91                 
5250               |Diego              |Tomtate            |2                  
5251               |Ramon              |Sanchez            |2                  
5252               |Ana                |Borjas             |65                 
5253               |Deku               |Murcia             |96                 
5254               |Ana                |Mata               |4                  
5255               |Brownie            |Matamoros          |90                 
5256               |Marco              |Sanchez            |78                 
5257               |David              |Ordoñez            |13                 
5258               |Diego              |Soto               |67                 
5259               |Deku               |Sanchez            |13                 
5260               |Ana                |Ordoñez            |70                 
5261               |Marco              |Murcia             |57                 
5262               |Michell            |Ordoñez            |39                 
5263               |Ramon              |Borjas             |75                 
5264               |Goku               |Borjas             |32                 
5265               |Deku               |Murcia             |22                 
5266               |Ramon              |Soto               |63                 
5267               |Ramon              |Tomtate            |62                 
5268               |David              |Matamoros          |49                 
5269               |Maria              |Sanchez            |49                 
5270               |Deku               |Borjas             |86                 
5271               |Ana                |Kurosaki           |10                 
5272               |Ana                |Mata               |39                 
5273               |Goku               |Mata               |98                 
5274               |Deku               |Suazo              |4                  
5275               |Goku               |Ordoñez            |59                 
5276               |Brownie            |Sula               |82                 
5277               |Diego              |Murcia             |96                 
5278               |Ana                |Suazo              |8                  
5279               |Diego              |Sula               |45                 
5280               |Deku               |Borjas             |74                 
5281               |Maria              |Soto               |49                 
5282               |Deku               |Sanchez            |41                 
5283               |Maria              |Suazo              |35                 
5284               |Ricardo            |Suazo              |32                 
5285               |Brownie            |Tomtate            |0                  
5286               |Michell            |Sula               |92                 
5287               |Michell            |Ruth               |65                 
5288               |David              |Sanchez            |55                 
5289               |Maria              |Kurosaki           |43                 
5290               |Ramon              |Mata               |84                 
5291               |Diego              |Soto               |63                 
5292               |Omar               |Sanchez            |63                 
5293               |Goku               |Ruth               |92                 
5294               |Brownie            |Mata               |90                 
5295               |Brownie            |Tomtate            |76                 
5296               |Goku               |Ordoñez            |77                 
5297               |Maria              |Sanchez            |51                 
5298               |Marco              |Suazo              |89                 
5299               |Ramon              |Sanchez            |88                 
5300               |David              |Soto               |5                  
5301               |Marco              |Sanchez            |43                 
5302               |Ricardo            |Mata               |31                 
5303               |Ramon              |Ruth               |43                 
5304               |Deku               |Ruth               |61                 
5305               |Marco              |Soto               |95                 
5306               |Ana                |Ruth               |70                 
5307               |David              |Sanchez            |62                 
5308               |Ricardo            |Borjas             |10                 
5309               |Ricardo            |Ordoñez            |43                 
5310               |Ana                |Kurosaki           |64                 
5311               |Ana                |Ordoñez            |7                  
5312               |Omar               |Sanchez            |49                 
5313               |Omar               |Tomtate            |76                 
5314               |Ramon              |Ruth               |98                 
5315               |Ramon              |Ruth               |85                 
5316               |Diego              |Tomtate            |1                  
5317               |Goku               |Sula               |5                  
5318               |Ricardo            |Ordoñez            |76                 
5319               |Deku               |Sula               |58                 
5320               |Ana                |Murcia             |84                 
5321               |Michell            |Matamoros          |89                 
5322               |Diego              |Suazo              |14                 
5323               |Michell            |Soto               |6                  
5324               |Goku               |Soto               |42                 
5325               |David              |Ordoñez            |90                 
5326               |Michell            |Mata               |68                 
5327               |Ricardo            |Borjas             |34                 
5328               |David              |Soto               |60                 
5329               |Ramon              |Sanchez            |96                 
5330               |Maria              |Mata               |20                 
5331               |Deku               |Kurosaki           |2                  
5332               |Goku               |Soto               |58                 
5333               |Ramon              |Murcia             |31                 
5334               |Ricardo            |Ruth               |89                 
5335               |Brownie            |Mata               |83                 
5336               |Ricardo            |Suazo              |64                 
5337               |Brownie            |Ordoñez            |38                 
5338               |Brownie            |Murcia             |51                 
5339               |Ana                |Sula               |16                 
5340               |Maria              |Ruth               |34                 
5341               |Goku               |Soto               |9                  
5342               |Ricardo            |Sanchez            |14                 
5343               |Marco              |Matamoros          |44                 
5344               |Marco              |Suazo              |88                 
5345               |Ricardo            |Suazo              |97                 
5346               |Diego              |Murcia             |53                 
5347               |Diego              |Tomtate            |57                 
5348               |David              |Suazo              |25                 
5349               |Michell            |Murcia             |27                 
5350               |Marco              |Ruth               |92                 
5351               |Diego              |Sula               |65                 
5352               |Ramon              |Kurosaki           |85                 
5353               |Brownie            |Suazo              |84                 
5354               |Ricardo            |Kurosaki           |66                 
5355               |Brownie            |Kurosaki           |11                 
5356               |Marco              |Ruth               |97                 
5357               |Deku               |Suazo              |45                 
5358               |Ana                |Soto               |25                 
5359               |Michell            |Murcia             |37                 
5360               |Diego              |Tomtate            |62                 
5361               |Maria              |Suazo              |80                 
5362               |Deku               |Borjas             |55                 
5363               |Ramon              |Sula               |88                 
5364               |Maria              |Borjas             |71                 
5365               |Diego              |Sula               |34                 
5366               |Diego              |Murcia             |85                 
5367               |Ana                |Sanchez            |71                 
5368               |Brownie            |Murcia             |25                 
5369               |Brownie            |Sula               |67                 
5370               |Diego              |Matamoros          |21                 
5371               |Marco              |Soto               |38                 
5372               |Deku               |Sanchez            |89                 
5373               |Ramon              |Sula               |48                 
5374               |Diego              |Mata               |13                 
5375               |Michell            |Matamoros          |91                 
5376               |Marco              |Murcia             |24                 
5377               |Goku               |Matamoros          |55                 
5378               |Marco              |Kurosaki           |55                 
5379               |Ramon              |Sanchez            |72                 
5380               |Omar               |Matamoros          |22                 
5381               |Omar               |Soto               |94                 
5382               |Goku               |Soto               |92                 
5383               |Ana                |Sanchez            |77                 
5384               |Diego              |Ruth               |37                 
5385               |Ana                |Borjas             |46                 
5386               |Michell            |Sanchez            |80                 
5387               |Deku               |Soto               |72                 
5388               |Omar               |Ordoñez            |79                 
5389               |Ana                |Suazo              |4                  
5390               |Ramon              |Ruth               |64                 
5391               |Brownie            |Matamoros          |12                 
5392               |Ramon              |Mata               |15                 
5393               |Goku               |Ordoñez            |91                 
5394               |Ricardo            |Matamoros          |87                 
5395               |Ramon              |Sula               |54                 
5396               |Ana                |Kurosaki           |44                 
5397               |Michell            |Suazo              |80                 
5398               |Michell            |Mata               |20                 
5399               |Brownie            |Suazo              |83                 
5400               |Goku               |Sanchez            |51                 
5401               |David              |Matamoros          |98                 
5402               |Ramon              |Tomtate            |65                 
5403               |David              |Sula               |66                 
5404               |Maria              |Ruth               |75                 
5405               |Deku               |Tomtate            |77                 
5406               |Omar               |Ruth               |89                 
5407               |Diego              |Suazo              |5                  
5408               |Brownie            |Sula               |85                 
5409               |Michell            |Tomtate            |63                 
5410               |Ana                |Soto               |28                 
5411               |Ramon              |Sula               |53                 
5412               |Ana                |Sula               |98                 
5413               |Omar               |Matamoros          |90                 
5414               |Brownie            |Murcia             |60                 
5415               |Ricardo            |Kurosaki           |67                 
5416               |Goku               |Soto               |1                  
5417               |Deku               |Borjas             |22                 
5418               |Deku               |Matamoros          |43                 
5419               |Brownie            |Ruth               |51                 
5420               |Michell            |Ruth               |61                 
5421               |Omar               |Sula               |10                 
5422               |Diego              |Sanchez            |99                 
5423               |Brownie            |Suazo              |72                 
5424               |Omar               |Ruth               |95                 
5425               |Brownie            |Matamoros          |34                 
5426               |Michell            |Soto               |75                 
5427               |Ramon              |Tomtate            |4                  
5428               |Goku               |Sanchez            |22                 
5429               |Deku               |Matamoros          |33                 
5430               |Deku               |Kurosaki           |4                  
5431               |Deku               |Murcia             |30                 
5432               |Marco              |Mata               |72                 
5433               |David              |Kurosaki           |16                 
5434               |Marco              |Sula               |82                 
5435               |Goku               |Murcia             |14                 
5436               |David              |Murcia             |85                 
5437               |Goku               |Murcia             |40                 
5438               |Diego              |Borjas             |49                 
5439               |Michell            |Sula               |14                 
5440               |David              |Sula               |71                 
5441               |Diego              |Ordoñez            |76                 
5442               |Goku               |Matamoros          |27                 
5443               |Ramon              |Ordoñez            |8                  
5444               |Ana                |Kurosaki           |72                 
5445               |Goku               |Soto               |79                 
5446               |Goku               |Sanchez            |79                 
5447               |Goku               |Tomtate            |55                 
5448               |Diego              |Tomtate            |57                 
5449               |Goku               |Kurosaki           |65                 
5450               |Ricardo            |Soto               |43                 
5451               |Michell            |Sula               |51                 
5452               |Omar               |Ruth               |45                 
5453               |Ricardo            |Matamoros          |33                 
5454               |Ana                |Borjas             |57                 
5455               |Goku               |Ruth               |60                 
5456               |Brownie            |Matamoros          |58                 
5457               |Diego              |Soto               |76                 
5458               |David              |Sanchez            |56                 
5459               |Michell            |Ordoñez            |19                 
5460               |Omar               |Sula               |20                 
5461               |Brownie            |Sanchez            |53                 
5462               |Omar               |Suazo              |59                 
5463               |Michell            |Matamoros          |69                 
5464               |Michell            |Ordoñez            |14                 
5465               |Diego              |Sula               |77                 
5466               |David              |Soto               |34                 
5467               |Deku               |Ordoñez            |45                 
5468               |Goku               |Murcia             |18                 
5469               |Ana                |Ruth               |37                 
5470               |Ricardo            |Ruth               |55                 
5471               |Deku               |Tomtate            |69                 
5472               |Ricardo            |Murcia             |34                 
5473               |Maria              |Murcia             |46                 
5474               |Maria              |Ruth               |64                 
5475               |Deku               |Ordoñez            |13                 
5476               |David              |Kurosaki           |69                 
5477               |David              |Murcia             |93                 
5478               |Marco              |Ruth               |51                 
5479               |Maria              |Matamoros          |80                 
5480               |Goku               |Ruth               |36                 
5481               |Maria              |Borjas             |33                 
5482               |Michell            |Kurosaki           |38                 
5483               |Ana                |Ruth               |32                 
5484               |Deku               |Borjas             |6                  
5485               |Ricardo            |Ordoñez            |43                 
5486               |Brownie            |Sula               |50                 
5487               |Brownie            |Ruth               |49                 
5488               |Deku               |Ordoñez            |64                 
5489               |Michell            |Ruth               |45                 
5490               |Marco              |Ruth               |5                  
5491               |Omar               |Kurosaki           |34                 
5492               |Ana                |Soto               |98                 
5493               |Maria              |Matamoros          |71                 
5494               |Goku               |Suazo              |71                 
5495               |Marco              |Murcia             |4                  
5496               |David              |Tomtate            |78                 
5497               |Ramon              |Mata               |87                 
5498               |Ricardo            |Matamoros          |17                 
5499               |Maria              |Murcia             |39                 
5500               |Diego              |Murcia             |94                 
5501               |Maria              |Kurosaki           |67                 
5502               |Ramon              |Borjas             |26                 
5503               |Ramon              |Borjas             |99                 
5504               |Ricardo            |Ordoñez            |13                 
5505               |Ramon              |Murcia             |62                 
5506               |Ana                |Sula               |80                 
5507               |Omar               |Sula               |92                 
5508               |Goku               |Ruth               |84                 
5509               |Maria              |Kurosaki           |67                 
5510               |Ramon              |Kurosaki           |79                 
5511               |Ramon              |Matamoros          |11                 
5512               |Diego              |Murcia             |68                 
5513               |Omar               |Tomtate            |62                 
5514               |Brownie            |Sanchez            |57                 
5515               |Diego              |Ruth               |74                 
5516               |Brownie            |Murcia             |12                 
5517               |Michell            |Mata               |49                 
5518               |Ricardo            |Tomtate            |18                 
5519               |Marco              |Borjas             |55                 
5520               |Goku               |Ruth               |72                 
5521               |Ramon              |Borjas             |66                 
5522               |Ricardo            |Borjas             |35                 
5523               |Ramon              |Mata               |8                  
5524               |Michell            |Borjas             |56                 
5525               |Ramon              |Matamoros          |21                 
5526               |Ramon              |Matamoros          |42                 
5527               |Goku               |Tomtate            |74                 
5528               |Ricardo            |Ruth               |52                 
5529               |Brownie            |Matamoros          |92                 
5530               |Maria              |Kurosaki           |56                 
5531               |Goku               |Murcia             |32                 
5532               |Ricardo            |Suazo              |85                 
5533               |Ricardo            |Mata               |68                 
5534               |Ramon              |Kurosaki           |46                 
5535               |Diego              |Ruth               |64                 
5536               |Goku               |Suazo              |93                 
5537               |Omar               |Sanchez            |63                 
5538               |Marco              |Mata               |43                 
5539               |Maria              |Tomtate            |50                 
5540               |Ricardo            |Mata               |73                 
5541               |David              |Borjas             |95                 
5542               |Deku               |Sula               |32                 
5543               |Ramon              |Ruth               |24                 
5544               |Brownie            |Ordoñez            |3                  
5545               |Deku               |Kurosaki           |75                 
5546               |Diego              |Ordoñez            |82                 
5547               |Omar               |Borjas             |29                 
5548               |Ana                |Murcia             |3                  
5549               |David              |Kurosaki           |71                 
5550               |Ricardo            |Matamoros          |9                  
5551               |Ramon              |Suazo              |1                  
5552               |Omar               |Kurosaki           |47                 
5553               |Michell            |Tomtate            |47                 
5554               |Deku               |Soto               |49                 
5555               |Omar               |Kurosaki           |79                 
5556               |Goku               |Sula               |55                 
5557               |Diego              |Tomtate            |53                 
5558               |Michell            |Soto               |6                  
5559               |Ana                |Soto               |24                 
5560               |Ana                |Borjas             |99                 
5561               |Ana                |Murcia             |68                 
5562               |Brownie            |Mata               |94                 
5563               |Michell            |Tomtate            |93                 
5564               |Ana                |Matamoros          |76                 
5565               |Deku               |Kurosaki           |35                 
5566               |Goku               |Suazo              |35                 
5567               |Ramon              |Sanchez            |63                 
5568               |Michell            |Soto               |58                 
5569               |Deku               |Matamoros          |50                 
5570               |Omar               |Ordoñez            |20                 
5571               |Ana                |Kurosaki           |93                 
5572               |Ramon              |Sula               |0                  
5573               |Goku               |Sanchez            |15                 
5574               |Diego              |Matamoros          |60                 
5575               |Ana                |Kurosaki           |82                 
5576               |Ana                |Kurosaki           |82                 
5577               |Ricardo            |Mata               |4                  
5578               |David              |Borjas             |45                 
5579               |Brownie            |Kurosaki           |78                 
5580               |Ramon              |Kurosaki           |80                 
5581               |Deku               |Matamoros          |57                 
5582               |Diego              |Tomtate            |43                 
5583               |Goku               |Suazo              |93                 
5584               |Ramon              |Ordoñez            |53                 
5585               |Michell            |Soto               |95                 
5586               |Omar               |Sanchez            |84                 
5587               |Michell            |Soto               |99                 
5588               |Goku               |Matamoros          |86                 
5589               |Brownie            |Suazo              |5                  
5590               |Marco              |Ordoñez            |93                 
5591               |Brownie            |Sanchez            |46                 
5592               |Ricardo            |Tomtate            |29                 
5593               |Ana                |Mata               |94                 
5594               |Maria              |Matamoros          |16                 
5595               |Ricardo            |Ruth               |20                 
5596               |Ramon              |Mata               |34                 
5597               |Marco              |Sanchez            |31                 
5598               |Ramon              |Ordoñez            |89                 
5599               |Marco              |Borjas             |41                 
5600               |Marco              |Tomtate            |8                  
5601               |Ricardo            |Soto               |61                 
5602               |Michell            |Kurosaki           |52                 
5603               |Diego              |Sanchez            |27                 
5604               |Brownie            |Murcia             |66                 
5605               |Ramon              |Matamoros          |25                 
5606               |Omar               |Soto               |88                 
5607               |Ricardo            |Ordoñez            |22                 
5608               |Ana                |Murcia             |17                 
5609               |Ana                |Murcia             |50                 
5610               |Michell            |Sula               |17                 
5611               |David              |Sula               |60                 
5612               |Ana                |Kurosaki           |10                 
5613               |Omar               |Ruth               |63                 
5614               |Ramon              |Borjas             |28                 
5615               |Ana                |Soto               |40                 
5616               |Goku               |Suazo              |9                  
5617               |Deku               |Ordoñez            |10                 
5618               |Ramon              |Mata               |96                 
5619               |Maria              |Ordoñez            |58                 
5620               |Ricardo            |Mata               |53                 
5621               |Ramon              |Ruth               |31                 
